	Force Plate 1												Force Plate 2
Sample #	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z	COP:X	COP:Y	COP:Z	Ref:X	Ref:Y	Ref:Z	Force:X	Force:Y	Force:Z	Moment:X	Moment:Y	Moment:Z
1	271.943006	271.690237	0.000000	254.000000	232.000000	0.000000	-2.175600	-2.331000	722.420010	28673.021607	-12962.386615	156.142216	0	0	0	765.000000	232.000000	0.000000	0.203040	0.044840	2.733000	56.980417	-142.775846	-220.358829
2	271.722632	271.207844	0.000000	254.000000	232.000000	0.000000	-2.775000	-2.686200	724.534410	28407.432211	-12840.656770	40.705523	0	0	0	765.000000	232.000000	0.000000	0.406080	-0.089680	3.917300	-51.905991	-227.297864	-274.216247
3	272.057489	271.523540	0.000000	254.000000	232.000000	0.000000	-2.197800	-3.196800	722.596210	28559.560442	-13048.272797	125.100364	0	0	0	765.000000	232.000000	0.000000	0.112800	-0.179360	3.826200	-64.735142	-413.334323	-242.167848
4	271.791788	271.160667	0.000000	254.000000	232.000000	0.000000	-2.419800	-2.908200	724.182010	28359.450284	-12884.492472	45.106123	0	0	0	765.000000	232.000000	0.000000	0.090240	-0.269040	2.095300	54.422264	-175.273053	-258.415151
5	272.282350	271.538356	0.000000	254.000000	232.000000	0.000000	-2.042400	-3.485400	722.508110	28566.782693	-13209.146229	80.646255	0	0	0	765.000000	232.000000	0.000000	0.496320	0.269040	3.370700	-28.384941	-277.191363	-300.649636
6	272.101095	270.785125	0.000000	254.000000	232.000000	0.000000	-2.908200	-3.774000	724.534410	28101.157450	-13114.865925	138.605860	0	0	0	765.000000	232.000000	0.000000	-0.135360	-0.560500	2.186400	5.541275	-147.808366	-269.599715
7	272.196965	271.113487	0.000000	254.000000	232.000000	0.000000	-2.286600	-4.395600	723.212910	28287.378478	-13160.279762	142.991808	0	0	0	765.000000	232.000000	0.000000	0.000000	-0.201780	3.552900	-18.588129	-389.821768	-333.660287
8	272.158099	270.022206	0.000000	254.000000	232.000000	0.000000	-2.997000	-4.839600	724.182010	27534.997538	-13149.768816	72.031646	0	0	0	765.000000	232.000000	0.000000	0.609120	-0.246620	2.915200	-66.994933	-290.442835	-268.944164
9	272.127983	269.995710	0.000000	254.000000	232.000000	0.000000	-2.286600	-4.972800	722.243810	27442.166698	-13092.823388	165.262985	0	0	0	765.000000	232.000000	0.000000	0.451200	0.089680	3.644000	-110.513463	-303.978716	-209.454842
10	272.061759	268.851532	0.000000	254.000000	232.000000	0.000000	-3.085800	-4.639800	723.036710	26645.010816	-13059.315035	134.261204	0	0	0	765.000000	232.000000	0.000000	0.248160	0.201780	2.915200	25.473842	-116.522794	-381.491321
11	272.174443	268.640738	0.000000	254.000000	232.000000	0.000000	-2.752800	-4.817400	721.450910	26434.493591	-13111.968084	165.332138	0	0	0	765.000000	232.000000	0.000000	0.473760	-0.112100	3.552900	59.952983	-323.560171	-301.105421
12	271.882678	267.298335	0.000000	254.000000	232.000000	0.000000	-3.485400	-5.527800	722.331910	25497.113923	-12917.228855	143.292174	0	0	0	765.000000	232.000000	0.000000	0.360960	-0.067260	4.190600	23.918190	-254.085217	-274.207365
13	272.209574	267.162425	0.000000	254.000000	232.000000	0.000000	-2.686200	-4.795200	720.217510	25324.594241	-13114.853833	214.213709	0	0	0	765.000000	232.000000	0.000000	0.473760	-0.313880	3.735100	52.048343	-370.804894	-279.830909
14	271.939948	265.983135	0.000000	254.000000	232.000000	0.000000	-3.640800	-4.817400	720.746110	24493.212697	-12930.147941	138.817537	0	0	0	765.000000	232.000000	0.000000	0.518880	0.067260	3.279600	104.551906	-296.772818	-241.721816
15	272.035862	265.597447	0.000000	254.000000	232.000000	0.000000	-3.174600	-4.950600	719.072210	24158.990602	-12969.086790	214.311611	0	0	0	765.000000	232.000000	0.000000	0.293280	-0.269040	4.646100	-124.827937	-270.804176	-301.359177
16	271.918184	264.631148	0.000000	254.000000	232.000000	0.000000	-3.396600	-4.417800	720.041310	23495.774290	-12901.832805	200.972837	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.291460	3.279600	-162.700545	-150.424324	-236.817043
17	271.750529	264.015773	0.000000	254.000000	232.000000	0.000000	-2.775000	-3.973800	719.072210	23021.652695	-12763.912143	240.833538	0	0	0	765.000000	232.000000	0.000000	0.383520	-0.067260	4.828300	126.878433	-255.709154	-252.687457
18	271.483691	263.350265	0.000000	254.000000	232.000000	0.000000	-3.219000	-3.707400	719.600810	22559.675994	-12581.278439	303.119929	0	0	0	765.000000	232.000000	0.000000	0.225600	0.089680	2.915200	-100.849747	-256.739886	-279.453323
19	271.630738	262.930570	0.000000	254.000000	232.000000	0.000000	-2.819400	-3.219000	717.838810	22203.163696	-12656.028061	289.675926	0	0	0	765.000000	232.000000	0.000000	0.406080	0.201780	2.186400	35.137559	-102.986913	-279.252165
